City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
274,Vestmannaeyjar,IS,63.4427,-20.2734,42.64,73,71,1.12,broken clouds
275,Ola,RU,59.5833,151.2833,8.69,92,100,9.8,overcast clouds
276,Kieta,PG,-6.2167,155.6333,82.76,76,99,5.91,overcast clouds
277,Takoradi,GH,4.8845,-1.7554,77.05,88,79,3.42,broken clouds
278,Jibuti,DJ,11.5,42.5,68.63,76,34,13.06,scattered clouds
279,Dois Vizinhos,BR,-25.7336,-53.0572,66.15,98,16,1.88,few clouds
280,Ostrovnoy,RU,68.0531,39.5131,18.77,88,27,10.02,scattered clouds
281,Port Hedland,AU,-20.3167,118.5667,102.25,32,11,18.41,few clouds
282,Dunedin,NZ,-45.8742,170.5036,57.79,81,100,10.0,overcast clouds
283,La Ronge,CA,55.1001,-105.2842,1.65,78,100,9.22,overcast clouds
284,Kawardha,IN,22.0167,81.25,74.21,47,8,2.68,clear sky
285,Pevek,RU,69.7008,170.3133,11.32,79,100,3.94,overcast clouds
286,Sheridan,US,44.8333,-106.9173,14.45,62,0,0.0,clear sky
287,Honningsvag,NO,70.9821,25.9704,28.15,74,20,13.8,few clouds
288,Kargasok,RU,59.0556,80.8572,3.92,97,98,3.58,overcast clouds
289,Virginia Beach,US,36.8529,-75.978,61.02,93,40,13.8,scattered clouds
290,Davila,PH,18.4726,120.5763,87.78,68,4,7.78,clear sky
291,Codrington,AU,-38.2667,141.9667,79.63,47,100,7.11,overcast clouds
292,Egvekinot,RU,66.3167,-179.1667,15.69,94,100,13.38,snow
293,Turka,UA,49.1541,23.0297,27.79,89,100,4.21,overcast clouds
294,Concepcion Del Oro,MX,24.6333,-101.4167,55.31,67,0,7.78,clear sky
295,Aldan,RU,58.6031,125.3894,-1.07,96,100,15.52,light snow
296,Boysun,UZ,38.2061,67.1986,37.9,61,100,1.9,overcast clouds
297,Necochea,AR,-38.5473,-58.7368,62.11,70,16,9.66,few clouds
298,Talnakh,RU,69.4865,88.3972,-0.8,99,100,5.93,snow
299,Wuwei,CN,37.9281,102.6414,26.71,45,100,3.24,overcast clouds
300,Itoman,JP,26.1247,127.6694,81.37,80,75,9.22,broken clouds
301,Saint-Francois,FR,46.4154,3.9054,36.84,93,75,9.22,broken clouds
302,Autazes,BR,-3.5797,-59.1306,73.63,94,89,0.4,overcast clouds
303,Acapulco,MX,16.8634,-99.8901,78.12,73,0,5.61,clear sky
304,Rognan,NO,67.0953,15.3878,28.06,81,5,7.54,clear sky
305,Gizo,SB,-8.103,156.8419,84.04,69,78,6.64,broken clouds
306,Richards Bay,ZA,-28.783,32.0377,69.04,78,100,4.03,overcast clouds
307,Rtishchevo,RU,52.2604,43.7874,11.64,65,71,7.27,broken clouds
308,Karpushikha,RU,57.5017,59.8956,5.27,96,97,4.45,overcast clouds
